| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 0.115          |
| 12–15 | 0.193          |
| 16–19 | 0.199          |
| 20–29 | 0.203          |
| 30–39 | 0.205          |
| 40–49 | 0.192          |
| 50–59 | 0.194          |
| 60–69 | 0.191          |
| 70–79 | 0.182          |
| 80+   | 0.179          |
