| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 0.153          |
| 12–15 | 0.161          |
| 16–19 | 0.161          |
| 20–29 | 0.156          |
| 30–39 | 0.166          |
| 40–49 | 0.165          |
| 50–59 | 0.158          |
| 60–69 | 0.158          |
| 70–79 | 0.149          |
| 80+   | 0.145          |
