Age,Mean
"8–11 years",24.1
"12–15 years",41.3
"16–19 years",54.6
"20–39 years",58.7
"40–59 years",59.6
"60–79 years",55.8
"80 years and older",48.7
"20 years and older (crude)",58.3
"20 years and older (age adjusted)",58
