Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1.3,1.4,1.5,1.7,2,2.5,2.9,3.2,3.6
"12–15 years",2,2.2,2.4,2.8,3.5,4.3,4.8,5.3,5.9
"16–19 years",3.3,3.5,3.7,4,4.7,5.5,6.1,6.5,7.1
"20–39 years",3.8,4.1,4.4,4.7,5.3,6.2,6.8,7.3,8
"40–59 years",4.1,4.4,4.6,5,5.7,6.4,6.9,7.2,7.9
"60–79 years",3.7,4,4.3,4.6,5.3,6.1,6.5,6.8,7.4
"80 years and older",3.2,3.5,3.6,3.9,4.5,5,5.4,5.7,6.1
"20 years and older (crude)",3.8,4.1,4.4,4.7,5.5,6.3,6.8,7.2,7.8
