"Cause of death","Rate (per 100000)"
"All causes",4909.6
"Diseases of heart",1626.9
"Malignant neoplasms",935.2
"Cerebrovascular diseases",461.9
"Chronic lower respiratory diseases",268
"Alzheimer’s disease.",171.3
"Influenza and pneumonia",166.6
"Diabetes mellitus",148.7
"Nephritis, nephrotic syndrome and nephrosis",82.6
"Accidents (unintentional injuries)",78.4
Septicemia,72.4
"All other causes",897.5
