| Age                | Mean |
| ------------------ | ---- |
| 8–11               | 24.1 |
| 12–15              | 24   |
| 16–19              | 23.7 |
| 20–39              | 23.7 |
| 40–59              | 23.9 |
| 60–79              | 24   |
| 80+                | 23.9 |
| 20+                | 23.9 |
| 20+ (age adjusted) | 23.9 |
