| Age                | Mean |
| ------------------ | ---- |
| 8–11               | 24.2 |
| 12–15              | 23.9 |
| 16–19              | 23.6 |
| 20–39              | 23.4 |
| 40–59              | 23.6 |
| 60–79              | 23.9 |
| 80+                | 23.8 |
| 20+                | 23.6 |
| 20+ (age adjusted) | 23.6 |
