Age,Mean
"8–11 years",24.1
"12–15 years",24
"16–19 years",23.7
"20–39 years",23.7
"40–59 years",23.9
"60–79 years",24
"80 years and older",23.9
"20 years and older (crude)",23.9
"20 years and older (age adjusted)",23.9
