Age,"Standard error of the mean"
"7-74 years",0.73
"7-11 years",0.94
"12-17 years",1.13
"18-24 years",0.94
"25-34 years",0.87
"35-44 years",1.17
"45-54 years",1.98
"55-64 years",2.65
"65-74 years",2.22
