Age,"Standard error of the mean"
"7-74 years",0.93
"7-11 years",1.51
"12-17 years",1.59
"18-24 years",1.26
"25-34 years",0.9
"35-44 years",0.91
"45-54 years",3.83
"55-64 years",3.91
"65-74 years",2.81
