"Age group",1st,2.5th,5th,10th,25th,50th,75th,90th,95th,97.5th,99th
"Under 1 year",90,99,103,108,116,126,137,149,156,162,174
"1 year",83,91,95,100,108,116,123,133,138,145,158
"2–3 years",78,82,86,90,97,105,113,119,124,131,138
"4–5 years",70,72,75,79,86,94,102,110,114,119,126
"6–8 years",60,64,68,71,78,85,93,101,105,109,116
"9–11 years",57,60,63,67,73,81,89,96,101,106,112
"12–15 years",52,56,58,62,68,76,85,93,98,103,108
"16–19 years",48,51,54,58,64,73,82,90,95,101,105
"20–39 years",48,51,54,57,64,71,79,87,92,98,103
"40–59 years",47,51,54,57,62,70,78,86,91,96,102
"60–79 years",47,50,54,56,62,69,77,85,91,97,102
"80 years and over",*,51,54,57,62,70,77,86,93,98,101
