| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 12.7           |
| 12–15 | 15.85          |
| 16–19 | 16.56          |
| 20–29 | 17.01          |
| 30–39 | 17.92          |
| 40–49 | 17.41          |
| 50–59 | 16.56          |
| 60–69 | 15.69          |
| 70–79 | 14.06          |
| 80+   | 12.75          |
