| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 11.67          |
| 12–15 | 20.51          |
| 16–19 | 20.16          |
| 20–29 | 21.96          |
| 30–39 | 21.84          |
| 40–49 | 19.72          |
| 50–59 | 19.44          |
| 60–69 | 19.46          |
| 70–79 | 19.36          |
| 80+   | 18.1           |
