| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 0.106          |
| 12–15 | 0.135          |
| 16–19 | 0.123          |
| 20–29 | 0.123          |
| 30–39 | 0.133          |
| 40–49 | 0.15           |
| 50–59 | 0.159          |
| 60–69 | 0.17           |
| 70–79 | 0.173          |
| 80+   | 0.175          |
