| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 0.075          |
| 12–15 | 0.147          |
| 16–19 | 0.137          |
| 20–29 | 0.143          |
| 30–39 | 0.151          |
| 40–49 | 0.156          |
| 50–59 | 0.167          |
| 60–69 | 0.187          |
| 70–79 | 0.199          |
| 80+   | 0.229          |
