"Cause of death (male, 55–64 years)",Number,"Percent of total deaths","Death rate"
"All causes",227925,100,1111.9
"Malignant neoplasms",60385,26.5,294.6
"Diseases of heart",55906,24.5,272.7
"Accidents (unintentional injuries)",17659,7.7,86.1
"Diabetes mellitus",9745,4.3,47.5
"Chronic liver disease and cirrhosis",9612,4.2,46.9
"Chronic lower respiratory diseases",9407,4.1,45.9
"Cerebrovascular diseases",7530,3.3,36.7
"Intentional self-harm (suicide)",6290,2.8,30.7
"Nephritis, nephrotic syndrome and nephrosis",3513,1.5,17.1
Septicemia,3065,1.3,15
"All other causes",44813,19.7,218.6
