"Cause of death (male, 45–54 years)",Number,"Percent of total deaths","Death rate"
"All causes",98847,100,490
"Diseases of heart",21997,22.3,109
"Malignant neoplasms",17058,17.3,84.6
"Accidents (unintentional injuries)",16547,16.7,82
"Intentional self-harm (suicide)",5856,5.9,29
"Chronic liver disease and cirrhosis",5220,5.3,25.9
"Diabetes mellitus",4091,4.1,20.3
"Cerebrovascular diseases",2955,3,14.6
"Chronic lower respiratory diseases",1615,1.6,8
"Assault (homicide)",1553,1.6,7.7
"Nephritis, nephrotic syndrome and nephrosis",1349,1.4,6.7
"All other causes",20606,20.8,102.2
