Age,"Urban areas more than 1000000 persons : Mean","Urban areas more than 1000000 persons : standard error","Urban areas more than 1000000 persons : standard deviation","Urban areas less than 1000000 persons : Mean","Urban areas less than 1000000 persons : standard error","Urban areas less than 1000000 persons : standard deviation","Urban not in urbanized area : Mean","Urban not in urbanized area : standard error","Urban not in urbanized area : standard deviation","Rural area : Mean","Rural area : standard error","Rural area : standard deviation"
"7-74 years",121.9,0.58,24.1,122.6,1.38,23.3,124.7,0.93,24.6,124.7,0.72,23
"7-11 years",102.3,1.19,12,101.9,2.2,13,106.2,1.51,12.3,104.4,1.46,11.8
"12-17 years",109.6,1.12,12.9,111.6,0.82,13.2,112.3,1.59,13.3,113.7,0.84,13.7
"18-24 years",112.8,0.91,12.4,114.9,1.06,13,113,1.26,13.3,117.6,1,13.2
"25-34 years",114.9,0.79,14.2,117.2,1.01,14.9,116.6,0.9,13.1,117.9,0.8,13.7
"35-44 years",122.3,1.06,20.1,124.4,1.42,19.2,122.3,0.91,16.1,124.8,1.21,19.3
"45-54 years",131.6,1.83,24.3,131.1,3.42,24.2,137,3.83,30.3,134,1.76,22
"55-64 years",146.3,1.67,28.9,142,2.22,23.5,142.1,3.91,24.2,144.2,1.91,24.4
"65-74 years",149.4,0.88,23.7,152.6,2.08,25.7,154.3,2.81,26.1,153.9,1.62,25.3
"Age-adjusted value",122,,,122.9,,,123.8,,,124.7,,
