Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",0.2,0.2,0.3,0.3,0.5,0.8,1.1,1.3,1.7
"12–15 years",0.3,0.4,0.4,0.5,0.7,1.2,1.5,1.7,2.2
"16–19 years",0.4,0.5,0.5,0.6,0.8,1.3,1.6,1.9,2.3
"20–39 years",0.5,0.6,0.7,0.8,1.1,1.5,1.8,2,2.4
"40–59 years",0.7,0.8,0.9,1,1.3,1.7,2,2.2,2.5
"60–79 years",0.8,0.9,1,1.1,1.4,1.8,2.1,2.2,2.6
"80 years and older",0.7,0.8,0.9,1,1.2,1.6,1.7,1.8,2.1
"20 years and older (crude)",0.6,0.7,0.8,1,1.3,1.6,1.9,2.1,2.5
