| Age                | Mean  |
| ------------------ | ----- |
| 7-74 years         | 122   |
| 7-11 years         | 102.9 |
| 12-17 years        | 113.1 |
| 18-24 years        | 119.7 |
| 25-34 years        | 120.5 |
| 35-44 years        | 124.1 |
| 45-54 years        | 133.5 |
| 55-64 years        | 137.9 |
| 65-74 years        | 146.7 |
| Age-adjusted value | 123.3 |
