| Age   | Mean |
| ----- | ---- |
| 2     | 28.1 |
| 3     | 29.2 |
| 4     | 30.2 |
| 5     | 31.6 |
| 6     | 33.7 |
| 7     | 34.9 |
| 8     | 36.7 |
| 9     | 39.4 |
| 10    | 40.5 |
| 11    | 42.9 |
| 12    | 44.9 |
| 13    | 45.9 |
| 14    | 49.5 |
| 15    | 50.7 |
| 16    | 50.5 |
| 17    | 51.7 |
| 18    | 50.7 |
| 19    | 51.7 |
| 20+   | 51.7 |
| 20–29 | 52.4 |
| 30–39 | 53   |
| 40–49 | 52.3 |
| 50–59 | 51.6 |
| 60–69 | 49.8 |
| 70–79 | 48.1 |
| 80+   | 46.1 |
