| Age    | Mean |
| ------ | ---- |
| 3m–5m  | 11.8 |
| 6m–8m  | 13   |
| 9m–11m | 13.8 |
| 1      | 15.6 |
| 2      | 17.5 |
| 3      | 19.2 |
| 4      | 20.8 |
| 5      | 22.4 |
| 6      | 23.7 |
| 7      | 24.9 |
| 8      | 26.5 |
| 9      | 28.1 |
| 10     | 29.1 |
| 11     | 31   |
| 12     | 32.1 |
| 13     | 33.1 |
| 14     | 33.8 |
| 15     | 33.9 |
| 16     | 34.1 |
| 17     | 34.2 |
| 18     | 34   |
| 19     | 34   |
| 20+    | 34.6 |
| 20–29  | 34.3 |
| 30–39  | 34.6 |
| 40–49  | 34.6 |
| 50–59  | 34.8 |
| 60–69  | 34.6 |
| 70–79  | 34.5 |
| 80+    | 34.4 |
