Age,Mean
"3–5 months",12.3
"6–8 months",13.5
"9–11 months",14.3
"1 year",16
"2 years",17.9
"3 years",19.4
"4 years",20.9
"5 years",22.4
"6 years",23.8
"7 years",25.4
"8 years",26.6
"9 years",28.3
"10 years",29.1
"11 years",30.3
"12 years",32.3
"13 years",33.6
"14 years",35.3
"15 years",36.2
"16 years",36.8
"17 years",37.1
"18 years",37.2
"19 years",37.1
"20 years and older",37.8
"20–29 years",37.4
"30–39 years",37.8
"40–49 years",38
"50–59 years",38.1
"60–69 years",38.1
"70–79 years",37.7
"80 years and older",37.6
