Age,"Total : Sample size","Total : Mean","Total : Standard error","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error"
"All ages",13923,12,0.6,4929,8,0.8,7770,13,0.8
"Under 6 years",3410,–,–,1564,–,–,1548,–,–
"6–11 years",1581,–,–,713,–,–,746,–,–
"12–19 years",1462,5,1,634,3,1.1,674,6,1.4
"20–59 years",5019,17,1.1,1390,16,1.6,3226,18,1.3
"60 years and over",2451,9,1,628,5,1.2,1576,10,1.2
