Age,"Total : Sample size","Total : Mean","Total : Standard error","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error"
"All ages",29105,8,0.4,10696,5,0.4,15771,9,0.6
"Under 6 years",6871,–,–,3145,–,–,3128,–,–
"6–11 years",3134,–,–,1446,–,–,1439,–,–
"12–19 years",3121,3,0.6,1345,2,0.5,1470,4,0.7
"20–59 years",10940,12,0.7,3329,10,0.8,6710,13,0.9
"60 years and over",5039,5,0.6,1431,2,0.5,3024,7,0.8
