Age,Mean
"3–5 months",41.2
"6–8 months",43.5
"9–11 months",44.9
"1 year",46.7
"2 years",48.4
"3 years",49.5
"4 years",49.9
"5 years",50.7
"6 years",51
"7 years",51.3
