| Age   | 5th   | 10th  | 15th  | 25th  | 50th   | 75th   | 85th   | 90th   | 95th   |
| ----- | ----- | ----- | ----- | ----- | ------ | ------ | ------ | ------ | ------ |
| 8–11  | 28.76 | 31.85 | 33.49 | 36.88 | 44.07  | 51.23  | 56.85  | 61.97  | 67.63  |
| 12–15 | 39.9  | 45.57 | 48.93 | 54.85 | 67.49  | 82.03  | 90.77  | 96.68  | 104.94 |
| 16–19 | 65.05 | 70.38 | 74.48 | 81.08 | 94.19  | 107.64 | 117.23 | 123.8  | 134.22 |
| 20–29 | 68.72 | 74.77 | 78.73 | 84.76 | 99.81  | 115.91 | 125.44 | 133.26 | 151.17 |
| 30–39 | 66.93 | 72.94 | 77.61 | 85.13 | 100.48 | 115.7  | 125.63 | 132.43 | 146.52 |
| 40–49 | 66.74 | 72.82 | 77.82 | 85.55 | 99.52  | 116.3  | 127.03 | 137.13 | 149.15 |
| 50–59 | 64.83 | 71.64 | 75.56 | 83.66 | 97.29  | 114.26 | 125.22 | 134.37 | 147.81 |
| 60–69 | 64.49 | 70.23 | 75.74 | 82.91 | 97.55  | 114.05 | 123.39 | 132.28 | 146.39 |
| 70–79 | 56.21 | 61.19 | 64.85 | 72.79 | 86.63  | 103.3  | 112.64 | 118.08 | 128.19 |
| 80+   | 48.4  | 53.36 | 57.23 | 64.51 | 77.8   | 91.45  | 99.86  | 107.07 | 116    |
