| Age         | Standard error of rate |
| ----------- | ---------------------- |
| 12-17 years | 0.07                   |
| 18-74 years | 0.34                   |
| 18-24 years | 0.18                   |
| 25-34 years | 0.32                   |
| 35-44 years | 0.72                   |
| 45-54 years | 1.05                   |
| 55-64 years | 0.93                   |
| 65-74 years | 0.64                   |
