Age,"Standard error of rate"
"12-17 years",0.13
"18-74 years",0.38
"18-24 years",0.11
"25-34 years",0.19
"35-44 years",0.61
"45-54 years",1.36
"55-64 years",1.2
"65-74 years",0.69
