Age,"Standard error of rate"
"12-17 years",0.04
"18-74 years",0.45
"18-24 years",0.33
"25-34 years",0.7
"35-44 years",1.14
"45-54 years",1.37
"55-64 years",1.57
"65-74 years",0.88
