| Age               | Median |
| ----------------- | ------ |
| All ages          | 11     |
| 2–11 months       | 14.2   |
| 1–2 years         | 8.3    |
| 3–5 years         | 9.8    |
| 6–11 years        | 11.2   |
| 12–15 years       | 11.4   |
| 16–19 years       | 10.7   |
| 20–29 years       | 11.3   |
| 30–39 years       | 11.4   |
| 40–49 years       | 11.1   |
| 50–59 years       | 10.9   |
| 60–69 years       | 10.5   |
| 70–79 years       | 10.7   |
| 80 years and over | 10.5   |
