Age,Median
"All ages",15.1
"2–11 months",15.4
"1–2 years",9.2
"3–5 years",11
"6–11 years",13.3
"12–15 years",14.9
"16–19 years",17.5
"20–29 years",16
"30–39 years",16.6
"40–49 years",16.4
"50–59 years",15.9
"60–69 years",14.8
"70–79 years",13.3
"80 years and over",14.1
