Age,"Average hours per day spent : Total in leisure and sports activities ","Average hours per day spent : Participating in sports, exercise and recreation","Average hours per day spent : Socializing and communicating","Average hours per day spent : Watching TV","Average hours per day spent : Reading","Average hours per day spent : Relaxing/thinking","Average hours per day spent : Playing games and computer use for leisure","Average hours per day spent : Other leisure and sports activities, including travel"
"Total, 15 years and over",5.19,0.31,0.64,2.81,0.27,0.31,0.43,0.42
"15 to 19 years",5.34,0.56,0.76,2.04,0.13,0.24,1.12,0.49
"20 to 24 years",4.91,0.6,0.55,2.22,0.1,0.19,0.81,0.46
"25 to 34 years",4.28,0.33,0.65,1.99,0.12,0.24,0.52,0.42
"35 to 44 years",3.99,0.27,0.59,2.03,0.16,0.3,0.28,0.37
"45 to 54 years",4.38,0.21,0.59,2.44,0.25,0.24,0.22,0.43
"55 to 64 years",5.45,0.25,0.67,3.24,0.28,0.38,0.22,0.4
"65 to 74 years",7.1,0.24,0.64,4.48,0.53,0.43,0.33,0.45
"75 years and over",7.67,0.2,0.7,4.77,0.73,0.52,0.43,0.31
