,"Average hours per day spent : Total in leisure and sports activities ","Average hours per day spent : Participating in sports, exercise and recreation","Average hours per day spent : Socializing and communicating","Average hours per day spent : Watching TV","Average hours per day spent : Reading","Average hours per day spent : Relaxing/thinking","Average hours per day spent : Playing games and computer use for leisure","Average hours per day spent : Other leisure and sports activities, including travel"
Men,5.53,0.39,0.62,3,0.23,0.32,0.55,0.42
Women,4.86,0.23,0.66,2.64,0.31,0.31,0.31,0.41
