| Age                | Mean |
| ------------------ | ---- |
| 8–11               | 2.8  |
| 12–15              | 4    |
| 16–19              | 4.8  |
| 20–39              | 5.5  |
| 40–59              | 5.8  |
| 60–79              | 5.6  |
| 80+                | 4.8  |
| 20+                | 5.6  |
| 20+ (age adjusted) | 5.6  |
