| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 13.5               |
| 7-11 years  | 10.8               |
| 12-17 years | 9.5                |
| 18-24 years | 10.2               |
| 25-34 years | 11.3               |
| 35-44 years | 11.7               |
| 45-54 years | 13.2               |
| 55-64 years | 12.1               |
| 65-74 years | 11.7               |
