Age,"Standard deviation"
"7-74 years",13.6
"7-11 years",10.7
"12-17 years",10
"18-24 years",10.7
"25-34 years",11.6
"35-44 years",11.6
"45-54 years",12.7
"55-64 years",12.4
"65-74 years",12.2
