| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 13.4               |
| 7-11 years  | 10.4               |
| 12-17 years | 10.4               |
| 18-24 years | 10.8               |
| 25-34 years | 11                 |
| 35-44 years | 10.9               |
| 45-54 years | 11.7               |
| 55-64 years | 12.7               |
| 65-74 years | 12.8               |
