Age,Mean
"All ages",11.4
"2–11 months",5.8
"1–2 years",6.7
"3–5 years",8
"6–11 years",10
"12–15 years",11.7
"16–19 years",12.8
"20–29 years",12.6
"30–39 years",12.7
"40–49 years",11.9
"50–59 years",12.2
"60–69 years",10.8
"70–79 years",10.3
"80 years and over",9.4
