| Age   | 5th   | 10th  | 15th  | 25th  | 50th  | 75th  | 85th  | 90th  | 95th  |
| ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- |
| 8–11  | 0.689 | 0.722 | 0.743 | 0.782 | 0.866 | 0.939 | 0.99  | 1.02  | 1.068 |
| 12–15 | 0.842 | 0.885 | 0.923 | 0.983 | 1.103 | 1.246 | 1.322 | 1.373 | 1.451 |
| 16–19 | 1.057 | 1.111 | 1.148 | 1.209 | 1.338 | 1.481 | 1.552 | 1.604 | 1.696 |
| 20–29 | 1.086 | 1.144 | 1.191 | 1.247 | 1.359 | 1.499 | 1.577 | 1.631 | 1.731 |
| 30–39 | 1.09  | 1.145 | 1.179 | 1.238 | 1.354 | 1.496 | 1.561 | 1.636 | 1.735 |
| 40–49 | 1.073 | 1.132 | 1.181 | 1.24  | 1.347 | 1.481 | 1.557 | 1.614 | 1.684 |
| 50–59 | 1.038 | 1.095 | 1.13  | 1.188 | 1.312 | 1.433 | 1.516 | 1.569 | 1.653 |
| 60–69 | 0.975 | 1.05  | 1.087 | 1.155 | 1.267 | 1.388 | 1.479 | 1.53  | 1.615 |
| 70–79 | 0.92  | 0.973 | 1.02  | 1.072 | 1.187 | 1.309 | 1.395 | 1.457 | 1.525 |
| 80+   | 0.855 | 0.902 | 0.933 | 0.984 | 1.091 | 1.217 | 1.289 | 1.348 | 1.455 |
