Age,Mean
"All ages",111
"2–11 months",29
"1–2 years",64
"3–5 years",87
"6–11 years",108
"12–15 years",122
"16–19 years",131
"20–29 years",129
"30–39 years",121
"40–49 years",117
"50–59 years",105
"60–69 years",98
"70–79 years",90
"80 years and over",85
