| Length  | 3rd   | 5th   | 10th  | 25th  | 50th  | 75th  | 90th  | 95th  | 97th  |
| ------- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- |
| 45–46   | 2.01  | 2.1   | 2.24  | 2.5   | 2.72  | 2.98  | 3.18  | 3.32  | 3.43  |
| 47–48   | 2.35  | 2.47  | 2.58  | 2.81  | 3.03  | 3.29  | 3.5   | 3.63  | 3.74  |
| 49–50   | 2.69  | 2.78  | 2.92  | 3.12  | 3.35  | 3.6   | 3.83  | 3.97  | 4.05  |
| 51–52   | 2.95  | 3.03  | 3.15  | 3.35  | 3.57  | 3.81  | 4.03  | 4.18  | 4.28  |
| 45–46   | 1.9   | 1.99  | 2.1   | 2.32  | 2.58  | 2.84  | 3.09  | 3.23  | 3.34  |
| 47–48   | 2.29  | 2.36  | 2.5   | 2.72  | 2.95  | 3.2   | 3.43  | 3.6   | 3.69  |
| 49–50   | 2.64  | 2.72  | 2.84  | 3.03  | 3.26  | 3.52  | 3.74  | 3.88  | 3.99  |
| 51–52   | 2.86  | 2.95  | 3.06  | 3.26  | 3.49  | 3.71  | 3.94  | 4.08  | 4.2   |
| 65–66   | 6.55  | 6.58  | 6.6   | 7.03  | 7.45  | 7.82  | 8.55  | 8.75  | 8.95  |
| 67–68   | 7.03  | 7.14  | 7.26  | 7.75  | 8.25  | 8.65  | 9.1   | 9.53  | 10.65 |
| 69–70   | 7.14  | 7.35  | 7.65  | 8.05  | 8.4   | 9.15  | 9.75  | 10.3  | 10.5  |
| 71–72   | 7.71  | 7.75  | 7.94  | 8.35  | 8.75  | 9.41  | 9.9   | 10.3  | 10.32 |
| 73–74   | 8.16  | 8.35  | 8.62  | 9.07  | 9.4   | 9.95  | 10.43 | 10.75 | 11    |
| 75–76   | 8.73  | 8.73  | 8.85  | 9.3   | 9.65  | 10.25 | 10.66 | 10.95 | 11.2  |
| 77–78   | 8.73  | 8.85  | 8.96  | 9.64  | 10.1  | 10.77 | 11.4  | 11.79 | 11.91 |
| 79–80   | 9.07  | 9.3   | 9.53  | 9.9   | 10.55 | 11.11 | 11.68 | 11.9  | 12.2  |
| 81–82   | 9.64  | 9.75  | 9.85  | 10.35 | 11    | 11.57 | 12.3  | 12.81 | 13.15 |
| 83–84   | 9.95  | 10.09 | 10.2  | 10.8  | 11.45 | 12.13 | 12.8  | 13.38 | 13.5  |
| 85–86   | 10.21 | 10.43 | 10.77 | 11.25 | 11.91 | 12.47 | 13.2  | 13.72 | 13.83 |
| 87–88   | 10.77 | 10.89 | 11.23 | 11.68 | 12.36 | 12.95 | 13.49 | 14.06 | 15    |
| 89–90   | 11.2  | 11.45 | 11.68 | 12.15 | 12.73 | 13.4  | 14.55 | 15.08 | 15.25 |
| 91–92   | 11.3  | 11.57 | 11.95 | 12.59 | 13.4  | 13.95 | 14.74 | 15.1  | 15.65 |
| 93–94   | 11.79 | 11.91 | 12.47 | 13.05 | 13.72 | 14.65 | 15.4  | 15.54 | 15.76 |
| 95–96   | 12.4  | 12.59 | 12.81 | 13.5  | 14.17 | 14.86 | 15.7  | 16.3  | 16.5  |
| 97–98   | 13.25 | 13.45 | 13.72 | 14.17 | 14.95 | 15.88 | 16.56 | 17.35 | 17.55 |
| 99–100  | 13.4  | 13.4  | 14.15 | 14.65 | 15.5  | 16.44 | 17.71 | 19.05 | 22.85 |
| 101–102 | 13.6  | 13.85 | 14.63 | 15.25 | 16.1  | 16.95 | 17.92 | 19.05 | 19.63 |
