| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 0.105          |
| 12–15 | 0.147          |
| 16–19 | 0.136          |
| 20–29 | 0.139          |
| 30–39 | 0.134          |
| 40–49 | 0.125          |
| 50–59 | 0.133          |
| 60–69 | 0.136          |
| 70–79 | 0.134          |
| 80+   | 0.143          |
