Age,"Standard error"
"8–11 years",0.105
"12–15 years",0.147
"16–19 years",0.136
"20–29 years",0.139
"30–39 years",0.134
"40–49 years",0.125
"50–59 years",0.133
"60–69 years",0.136
"70–79 years",0.134
"80 years and over",0.143
