Age,Mean
"2–2.49 years",13.13
"2.5–2.99 years",13.95
"3.0–3.49 years",15.08
"3.5–3.99 years",16.2
"4.0–4.49 years",17.2
"4.5–4.99 years",18.11
"5.0–5.49 years",19.49
"5.5–5.99 years",20.47
"6.0–6.49 years",21.56
"6.5–6.99 years",22.92
"7.0–7.49 years",24.07
"7.5–7.99 years",25.58
"8.0–8.49 years",26.43
"8.5–8.99 years",28.46
"9.0–9.49 years",30.55
"9.5–9.99 years",31.86
"10.0–10.49 years",33.47
"10.5–10.99 years",36.06
"11.0–11.49 years",37.61
"11.5–11.99 years",40.39
"12.0–12.49 years",42.07
"12.5–12.99 years",44.89
"13.0–13.49 years",47.94
"13.5–13.99 years",51.69
"14.0–14.49 years",54.97
"14.5–14.99 years",57.9
"15.0–15.49 years",59.48
"15.5–15.99 years",62.65
"16.0–16.49 years",64.63
"16.5–16.99 years",67.83
"17.0–17.49 years",67.64
"17.5–17.99 years",67.87
"18.0–18.49 years",73.09
"18.5–18.99 years",71.43
"19.0–19.49 years",72.24
"19.5–19.99 years",72.21
