Age,Mean
"2–2.49 years",12.47
"2.5–2.99 years",13.59
"3.0–3.49 years",14.65
"3.5–3.99 years",15.57
"4.0–4.49 years",16.79
"4.5–4.99 years",17.63
"5.0–5.49 years",18.97
"5.5–5.99 years",20.53
"6.0–6.49 years",21.11
"6.5–6.99 years",22.16
"7.0–7.49 years",23.58
"7.5–7.99 years",25.04
"8.0–8.49 years",26.64
"8.5–8.99 years",28.59
"9.0–9.49 years",30.59
"9.5–9.99 years",32.74
"10.0–10.49 years",34.02
"10.5–10.99 years",35.72
"11.0–11.49 years",39.28
"11.5–11.99 years",42.37
"12.0–12.49 years",44.89
"12.5–12.99 years",47.88
"13.0–13.49 years",50.49
"13.5–13.99 years",51.64
"14.0–14.49 years",53.78
"14.5–14.99 years",55.1
"15.0–15.49 years",55.22
"15.5–15.99 years",56.96
"16.0–16.49 years",57.36
"16.5–16.99 years",57.7
"17.0–17.49 years",58.23
"17.5–17.99 years",59.81
"18.0–18.49 years",59.04
"18.5–18.99 years",58.17
"19.0–19.49 years",58.52
"19.5–19.99 years",61.2
