Age,Mean
"2 years",12.2
"3 years",11.2
"4 years",11.5
"5 years",11.3
"6 years",12.8
"7 years",12.3
"8 years",13.6
"9 years",15.1
"10 years",16.5
"11 years",15.9
"12 years",16.2
"13 years",14.4
"14 years",13.2
"15 years",12.4
"16 years",11.7
"17 years",11.6
"18 years",11.5
"19 years",13.4
"20 years and older",14.6
"20–29 years",13.6
"30–39 years",14.7
"40–49 years",15.1
"50–59 years",15.5
"60–69 years",15
"70–79 years",14.6
"80 years and older",14.3
