Age,"Standard error"
"All ages"
"2–11 months",*0.06
"1–2 years"
"3–5 years",0.95
"6–11 years"
"12–15 years",3.77
"16–19 years"
"20–29 years",5.68
"30–39 years"
"40–49 years",9.43
"50–59 years"
"60–69 years",6.21
"70–79 years"
"80 years and over",596,17.9,2.34
