Age,"Total : Sample size","Total : Mean","Total : Standard error","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error"
"All ages",15182,5,0.4,5767,3,0.4,8001,5,0.5
"Under 6 years",3461,–,–,1581,–,–,1580,–,–
"6–11 years",1553,–,–,733,–,–,693,–,–
"12–19 years",1659,1,0.3,711,1,0.4,796,1,0.4
"20–59 years",5921,7,0.7,1939,5,0.9,3484,8,0.9
"60 years and over",2588,3,0.4,803,1,0.2,1448,4,0.5
