Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",15182,65,0.5,60,5767,64,0.8,58,8001,65,0.7,61
"Under 6 years",3461,48,0.7,45,1581,50,1.4,47,1580,47,0.8,44
"6–11 years",1553,65,1.2,62,733,66,1.4,61,693,64,1.7,61
"12–19 years",1659,66,1.6,62,711,70,2.6,65,796,64,1.6,60
"20–59 years",5921,69,0.9,64,1939,68,1.8,61,3484,69,1.1,66
"60 years and over",2588,59,0.8,55,803,55,2,51,1448,60,0.9,57
