Age,"Sample size"
"3–5 months",307
"6–8 months",255
"9–11 months",312
"1 year",624
"2 years",541
"3 years",553
"4 years",526
"5 years",555
"6 years",273
"7 years",265
"8 years",243
"9 years",269
"10 years",253
"11 years",263
"12 years",231
"13 years",215
"14 years",214
"15 years",183
"16 years",199
"17 years",184
"18 years",160
"19 years",162
"20 years and older",7520
"20–29 years",1509
"30–39 years",1544
"40–49 years",1164
"50–59 years",876
"60–69 years",1029
"70–79 years",836
"80 years and older",562
