| Age    | Sample size |
| ------ | ----------- |
| 3m–5m  | 307         |
| 6m–8m  | 255         |
| 9m–11m | 312         |
| 1      | 624         |
| 2      | 541         |
| 3      | 553         |
| 4      | 526         |
| 5      | 555         |
| 6      | 273         |
| 7      | 265         |
| 8      | 243         |
| 9      | 269         |
| 10     | 253         |
| 11     | 263         |
| 12     | 231         |
| 13     | 215         |
| 14     | 214         |
| 15     | 183         |
| 16     | 199         |
| 17     | 184         |
| 18     | 160         |
| 19     | 162         |
| 20+    | 7520        |
| 20–29  | 1509        |
| 30–39  | 1544        |
| 40–49  | 1164        |
| 50–59  | 876         |
| 60–69  | 1029        |
| 70–79  | 836         |
| 80+    | 562         |
