| Age    | Sample size |
| ------ | ----------- |
| 3m–5m  | 283         |
| 6m–8m  | 313         |
| 9m–11m | 269         |
| 1      | 644         |
| 2      | 549         |
| 3      | 479         |
| 4      | 537         |
| 5      | 491         |
| 6      | 278         |
| 7      | 267         |
| 8      | 261         |
| 9      | 271         |
| 10     | 292         |
| 11     | 280         |
| 12     | 199         |
| 13     | 180         |
| 14     | 182         |
| 15     | 181         |
| 16     | 187         |
| 17     | 190         |
| 18     | 168         |
| 19     | 159         |
| 20+    | 7148        |
| 20–29  | 1541        |
| 30–39  | 1377        |
| 40–49  | 1103        |
| 50–59  | 770         |
| 60–69  | 1059        |
| 70–79  | 761         |
| 80+    | 537         |
