| Age               | Mean |
| ----------------- | ---- |
| All ages          | 15.2 |
| 2–11 months       | 16   |
| 1–2 years         | 10.1 |
| 3–5 years         | 12   |
| 6–11 years        | 14.1 |
| 12–15 years       | 16.2 |
| 16–19 years       | 16.2 |
| 20–29 years       | 15.9 |
| 30–39 years       | 16.1 |
| 40–49 years       | 15.6 |
| 50–59 years       | 15.6 |
| 60–69 years       | 15.2 |
| 70–79 years       | 14.3 |
| 80 years and over | 14.5 |
