Age,Number,Rate
"15 years and over",4969,4.8
"15-24 years",533,2.7
"25-34 years",952,5.1
"35-44 years",1186,5.3
"45-54 years",1070,5.9
"55-64 years",724,6.3
"65 years and over",504,3.5
Age-ajusted,,4.7
