Age,"Standard error"
"2 years",0.22
"3 years",0.22
"4 years",0.26
"5 years",0.29
"6 years",0.72
"7 years",0.55
"8 years",0.73
"9 years",0.89
"10 years",0.87
"11 years",0.75
"12 years",0.89
"13 years",0.98
"14 years",0.98
"15 years",0.95
"16 years",0.7
"17 years",0.74
"18 years",0.78
"19 years",1.15
"20 years and older",0.18
"20–29 years",0.29
"30–39 years",0.32
"40–49 years",0.36
"50–59 years",0.42
"60–69 years",0.37
"70–79 years",0.44
"80 years and older",0.49
