| Systolic | Percent |
| -------- | ------- |
| 0-100    | 0.5     |
| 100-109  | 2.4     |
| 110-119  | 6.7     |
| 120-129  | 12.6    |
| 130-139  | 16.6    |
| 140-149  | 16.5    |
| 150-159  | 15.4    |
| 160-169  | 10.4    |
| 170-179  | 7.8     |
| 180-189  | 5       |
| 190-199  | 2.4     |
| 200-209  | 1.5     |
| 210-219  | 1.1     |
| 220-229  | 0.5     |
| 230-239  | 0.2     |
| 240+     | 0.4     |
