| Systolic | Percent |
| -------- | ------- |
| 0-100    | 0.2     |
| 100-109  | 1.3     |
| 110-119  | 3.7     |
| 120-129  | 9.7     |
| 130-139  | 13.4    |
| 140-149  | 18.7    |
| 150-159  | 15.6    |
| 160-169  | 13.4    |
| 170-179  | 7.7     |
| 180-189  | 7.3     |
| 190-199  | 4.2     |
| 200-209  | 2       |
| 210-219  | 1.1     |
| 220-229  | 0.5     |
| 230-239  | 0.6     |
| 240+     | 0.6     |
