Age,Mean
"All ages",2070
"2–11 months",1629
"1–2 years",1144
"3–5 years",1039
"6–11 years",1248
"12–15 years",1635
"16–19 years",1558
"20–29 years",2068
"30–39 years",2359
"40–49 years",2260
"50–59 years",2580
"60–69 years",2761
"70–79 years",2707
"80 years and over",2888
