"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",997456,100,4909.6
"Diseases of heart",330529,33.1,1626.9
"Malignant neoplasms",190008,19,935.2
"Cerebrovascular diseases",93845,9.4,461.9
"Chronic lower respiratory diseases",54451,5.5,268
"Alzheimer’s disease.",34805,3.5,171.3
"Influenza and pneumonia",33848,3.4,166.6
"Diabetes mellitus",30216,3,148.7
"Nephritis, nephrotic syndrome and nephrosis",16777,1.7,82.6
"Accidents (unintentional injuries)",15936,1.6,78.4
Septicemia,14701,1.5,72.4
"All other causes",182340,18.3,897.5
