Age,"Standard error of the mean"
"7-74 years",0.92
"7-11 years",1.6
"12-17 years",1.43
"18-24 years",1.14
"25-34 years",1.65
"35-44 years",1.62
"45-54 years",4.12
"55-64 years",2.18
"65-74 years",1.13
