"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",2403351,100,873.1
"Diseases of heart",710760,29.6,258.2
"Malignant neoplasms",553091,23,200.9
"Cerebrovascular diseases",167661,7,60.9
"Chronic lower respiratory diseases",122009,5.1,44.3
"Accidents (unintentional injuries)",97900,4.1,35.6
"Diabetes mellitus",69301,2.9,25.2
"Influenza and pneumonia",65313,2.7,23.7
"Alzheimer’s disease",49558,2.1,18
"Nephritis, nephrotic syndrome and nephrosis",37251,1.5,13.5
Septicemia,31224,1.3,11.3
"All other causes",499283,20.8,181.4
