Age,"Standard error of the mean"
"7-17 years (education : head of the household)",0.49
"7-11 years (education : head of the household)",0.62
"12-17 years (education : head of the household)",0.47
"18-74 years",0.33
"18-24 years",0.45
"25-34 years",0.33
"35-44 years",0.51
"45-54 years",0.69
"55-64 years",0.54
"65-74 years",0.6
