Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",874.35,927.12,964.62,1018.96,1144.73,1296.09,1392.22,1461.56,1627.12
"12–15 years",1223.83,1310.07,1380.46,1525.23,1885.99,2260.4,2470.32,2591.59,2757.37
"16–19 years",1962.99,2094.12,2187.43,2330.34,2603.82,2924.4,3091.09,3206.33,3362.1
"20–29 years",2102.17,2247.12,2333.01,2497.93,2744.04,3038.82,3228.09,3389.1,3579.33
"30–39 years",2115.61,2243.64,2318.69,2468.37,2742.78,3043.04,3223.94,3368.59,3576.54
"40–49 years",2133.19,2268.93,2350.15,2490.34,2769.83,3035.73,3211.56,3345.46,3514.63
"50–59 years",2013.71,2157.32,2262.12,2411.43,2696.2,2965.82,3113.81,3254.16,3468.84
"60–69 years",1984.54,2123.17,2222.15,2359.51,2651.88,2922.96,3138.95,3236.15,3401.72
"70–79 years",1876.94,2022.24,2091.44,2207.09,2513.03,2788.74,2968.88,3076.64,3198.62
"80 years and over",1730.53,1864,1963.63,2092.49,2338.02,2637.5,2826.06,2917.57,3097.5
